Place,Country,Category,Season,Rating,Google_Maps_Link
Butter Tart Bakery,Canada,Culinary,Autumn,4.2,https://maps.google.com/maps?q=Butter+Tart+Festival+Ontario+Canada
Chichen Itza,Mexico,Culture,Winter,4.8,https://maps.google.com/maps?q=Chichen+Itza+Yucatan+Mexico
Teotihuacan Pyramids,Mexico,Culture,Spring,4.7,https://maps.google.com/maps?q=Teotihuacan+Pyramids+Mexico
Frida Kahlo Museum,Mexico,Culture,Summer,4.6,https://maps.google.com/maps?q=Frida+Kahlo+Museum+Mexico+City+Mexico
Zocalo Square,Mexico,Culture,Autumn,4.4,https://maps.google.com/maps?q=Zocalo+Mexico+City+Mexico
Cancun Beaches,Mexico,Nature,Winter,4.6,https://maps.google.com/maps?q=Cancun+Beaches+Mexico
Copper Canyon,Mexico,Nature,Spring,4.7,https://maps.google.com/maps?q=Copper+Canyon+Chihuahua+Mexico
Tulum Ruins Beach,Mexico,Nature,Summer,4.8,https://maps.google.com/maps?q=Tulum+Archaeological+Site+Mexico
Cenotes Yucatan,Mexico,Nature,Autumn,4.7,https://maps.google.com/maps?q=Gran+Cenote+Tulum+Mexico
Tacos al Pastor,Mexico,Culinary,Winter,4.6,https://maps.google.com/maps?q=El+Huequito+Mexico+City+Mexico
Mole Restaurant,Mexico,Culinary,Spring,4.7,https://maps.google.com/maps?q=Pujol+Restaurant+Mexico+City+Mexico
Tequila Distillery,Mexico,Culinary,Summer,4.5,https://maps.google.com/maps?q=Jose+Cuervo+Distillery+Tequila+Mexico
Mezcal Bar,Mexico,Culinary,Autumn,4.4,https://maps.google.com/maps?q=Bosforo+Mezcal+Bar+Mexico+City+Mexico
Marina Bay Sands,Singapore,Culture,Summer,4.7,https://maps.google.com/maps?q=Marina+Bay+Sands+Singapore
Merlion Park,Singapore,Culture,Autumn,4.4,https://maps.google.com/maps?q=Merlion+Park+Singapore
Singapore Botanic Gardens,Singapore,Nature,Spring,4.6,https://maps.google.com/maps?q=Singapore+Botanic+Gardens
Gardens by the Bay,Singapore,Nature,Winter,4.8,https://maps.google.com/maps?q=Gardens+by+the+Bay+Singapore
Sentosa Island,Singapore,Nature,Summer,4.5,https://maps.google.com/maps?q=Sentosa+Island+Singapore
East Coast Park,Singapore,Nature,Autumn,4.3,https://maps.google.com/maps?q=East+Coast+Park+Singapore
Hawker Center,Singapore,Culinary,Spring,4.8,https://maps.google.com/maps?q=Maxwell+Food+Centre+Singapore
Hainanese Chicken Rice,Singapore,Culinary,Winter,4.7,https://maps.google.com/maps?q=Tian+Tian+Hainanese+Chicken+Rice+Singapore
Laksa Restaurant,Singapore,Culinary,Summer,4.6,https://maps.google.com/maps?q=328+Katong+Laksa+Singapore
Chili Crab,Singapore,Culinary,Autumn,4.9,https://maps.google.com/maps?q=Newton+Food+Centre+Singapore
Victoria Harbour,Hong Kong,Culture,Winter,4.7,https://maps.google.com/maps?q=Victoria+Harbour+Hong+Kong
Peak Tram,Hong Kong,Culture,Spring,4.6,https://maps.google.com/maps?q=Peak+Tram+Hong+Kong
Big Buddha,Hong Kong,Culture,Summer,4.5,https://maps.google.com/maps?q=Tian+Tan+Buddha+Hong+Kong
Star Ferry,Hong Kong,Culture,Autumn,4.4,https://maps.google.com/maps?q=Star+Ferry+Hong+Kong
Dragon Back Trail,Hong Kong,Nature,Winter,4.8,https://maps.google.com/maps?q=Dragon+Back+Trail+Hong+Kong
Lantau Island,Hong Kong,Nature,Spring,4.6,https://maps.google.com/maps?q=Lantau+Island+Hong+Kong
Sai Kung Beaches,Hong Kong,Nature,Summer,4.5,https://maps.google.com/maps?q=Sai+Kung+East+Country+Park+Hong+Kong
Lion Rock,Hong Kong,Nature,Autumn,4.7,https://maps.google.com/maps?q=Lion+Rock+Hong+Kong
Dim Sum Restaurant,Hong Kong,Culinary,Winter,4.8,https://maps.google.com/maps?q=Tim+Ho+Wan+Hong+Kong
Roast Goose,Hong Kong,Culinary,Spring,4.6,https://maps.google.com/maps?q=Kam+Roast+Goose+Hong+Kong
Milk Tea Cafe,Hong Kong,Culinary,Summer,4.4,https://maps.google.com/maps?q=Tsui+Wah+Restaurant+Hong+Kong
Egg Tart Bakery,Hong Kong,Culinary,Autumn,4.5,https://maps.google.com/maps?q=Tai+Cheong+Bakery+Hong+Kong
